transaction_entity,entity_id,amount,currency,fee (exclusive tax),tax,debit,credit,payment_method,card_type,issuer_name,entity_created_at,payment_captured_at,payment_notes,refund_notes,arn,entity_description,order_id,order_receipt,order_notes,dispute_id,dispute_created_at,dispute_reason,settlement_id,settled_at,settlement_utr,settled_by
payment,pay_FWdENbTqEKIl6q,1999.00,INR,39.98,7.20,0,1951.82,netbanking,"","",29/08/2020 21:14:19,29/08/2020 21:14:19,"{""address"":""Hello World"",""merchant_order_id"":""12312321""}","","",Detel-india,order_FWdE8h7YXB3oY9,1598715727,[],"","","",setl_FXgWmcqSoMsBFy,01/09/2020 13:04:51,AXISCN0056259398,Razorpay
payment,pay_FWIMZY7JZ2TiCV,1999.00,INR,39.98,7.20,0,1951.82,upi,"","",29/08/2020 00:47:54,29/08/2020 00:47:54,"{""address"":""Hello World"",""merchant_order_id"":""12312321""}","","",Detel-india,order_FWI678rsBevzlq,1598641317,[],"","","",setl_FXgWmcqSoMsBFy,01/09/2020 13:04:51,AXISCN0056259398,Razorpay
payment,pay_FWqo9JgV1vIMe9,1999.00,INR,39.98,7.20,0,1951.82,upi,"","",30/08/2020 10:29:40,30/08/2020 10:29:40,"{""address"":""Hello World"",""merchant_order_id"":""12312321""}","","",Detel-india,order_FWqnoDw6uuKRbz,1598763534,[],"","","",setl_FXgWmcqSoMsBFy,01/09/2020 13:04:51,AXISCN0056259398,Razorpay
payment,pay_FWtBVnj9U2p9ri,1999.00,INR,39.98,0,0,1959.02,card,debit,HDFC,30/08/2020 12:49:11,30/08/2020 12:49:11,"{""address"":""Hello World"",""merchant_order_id"":""12312321""}","","",Detel-india,order_FWt9uHtwHXSVsg,1598771832,[],"","","",setl_FXgWmcqSoMsBFy,01/09/2020 13:04:51,AXISCN0056259398,Razorpay
payment,pay_FWsF2bYODkA7af,35999.00,INR,719.98,129.60,0,35149.42,card,credit,BARB,30/08/2020 11:54:21,30/08/2020 11:54:21,"{""address"":""Hello World"",""merchant_order_id"":""12312321""}","","",Detel-india,order_FWs9Neksw8Z98F,1598768281,[],"","","",setl_FXgWmcqSoMsBFy,01/09/2020 13:04:51,AXISCN0056259398,Razorpay
payment,pay_FWrFzFrlqnhX9Z,1999.00,INR,39.98,7.20,0,1951.82,wallet,"","",30/08/2020 10:57:45,30/08/2020 10:57:45,"{""address"":""Hello World"",""merchant_order_id"":""12312321""}","","",Detel-india,order_FWrEk8lmgYCZxh,1598765064,[],"","","",setl_FXgWmcqSoMsBFy,01/09/2020 13:04:51,AXISCN0056259398,Razorpay
payment,pay_FWbVipOyEv6yAq,298.00,INR,5.96,1.08,0,290.96,netbanking,"","",29/08/2020 19:33:01,29/08/2020 19:33:01,"{""address"":""Hello World"",""merchant_order_id"":""12312321""}","","",Detel-india,order_FWbUsTUF7XOv2c,1598709634,[],"","","",setl_FXgWmcqSoMsBFy,01/09/2020 13:04:51,AXISCN0056259398,Razorpay
payment,pay_FWrlBz79X6VfVp,1999.00,INR,39.98,7.20,0,1951.82,netbanking,"","",30/08/2020 11:27:41,30/08/2020 11:27:41,"{""address"":""Hello World"",""merchant_order_id"":""12312321""}","","",Detel-india,order_FWrhI8WpabYEPz,1598766685,[],"","","",setl_FXgWmcqSoMsBFy,01/09/2020 13:04:51,AXISCN0056259398,Razorpay
payment,pay_FWQ7MUpjwc2yTW,1999.00,INR,39.98,0,0,1959.02,card,credit,ANDB,29/08/2020 08:23:07,29/08/2020 08:23:07,"{""address"":""Hello World"",""merchant_order_id"":""12312321""}","","",Detel-india,order_FWQ6kW6I4BQFQW,1598669526,[],"","","",setl_FXgWmcqSoMsBFy,01/09/2020 13:04:51,AXISCN0056259398,Razorpay
payment,pay_FX4EV7aA1CxzWn,1999.00,INR,39.98,7.20,0,1951.82,upi,"","",30/08/2020 23:38:46,30/08/2020 23:38:46,"{""address"":""Hello World"",""merchant_order_id"":""12312321""}","","",Detel-india,order_FX4CxcKdrcl7oK,1598810744,[],"","","",setl_FXgWmcqSoMsBFy,01/09/2020 13:04:51,AXISCN0056259398,Razorpay
